Chr	start	stop	V4	V5	V6	M24C1_MYC	M24C2_MYC	M24D1_MYC	M24D2_MYC	M24G1_MYC	M24G2_MYC	M24Q1_MYC	M24Q2_MYC
chr1	904572	905523	MYC_peak_1	0	.	94	54	77	96	86	95	64	97
chr1	958758	959631	MYC_peak_2	0	.	136	115	136	160	178	179	121	252
chr1	966234	967598	MYC_peak_3	0	.	129	78	166	124	137	172	123	197
chr1	1000260	1001249	MYC_peak_4	0	.	50	65	84	89	139	131	67	120
chr1	1013172	1013522	MYC_peak_5	0	.	21	42	56	69	50	64	53	87
chr1	1038709	1040351	MYC_peak_6	0	.	99	97	151	167	149	198	189	188
chr1	1116023	1116509	MYC_peak_7	0	.	51	62	83	85	93	146	79	141
chr1	1230960	1232825	MYC_peak_8	0	.	379	235	458	368	326	521	473	555
chr1	1273495	1274349	MYC_peak_9	0	.	47	61	156	133	79	126	150	114
chr1	1306442	1306751	MYC_peak_10	0	.	13	9	28	21	26	34	13	16
chr1	1307144	1309236	MYC_peak_11	0	.	377	314	551	522	520	585	464	771
chr1	1324374	1325064	MYC_peak_12	0	.	39	27	88	77	64	56	48	83
chr1	1348966	1349781	MYC_peak_13	0	.	86	71	137	84	47	91	98	105
chr1	1371430	1371997	MYC_peak_14	0	.	44	26	56	20	57	66	69	75
chr1	1374871	1375357	MYC_peak_15	0	.	35	34	67	82	65	69	32	90
chr1	1398128	1400177	MYC_peak_16	0	.	268	217	283	289	295	427	316	394
chr1	1406111	1408202	MYC_peak_17	0	.	337	230	448	390	448	460	421	526
chr1	1471122	1472072	MYC_peak_18	0	.	202	171	261	234	232	267	195	290
chr1	1472482	1473026	MYC_peak_19	0	.	35	24	54	41	35	73	35	53
chr1	1511085	1512433	MYC_peak_20	0	.	253	186	379	334	294	399	285	366
chr1	1512813	1513157	MYC_peak_21	0	.	19	16	61	38	35	45	28	34
chr1	1573320	1575529	MYC_peak_22	0	.	319	267	482	491	402	505	359	579
chr1	1599392	1599894	MYC_peak_23	0	.	45	50	90	43	65	60	70	65
chr1	1614404	1615836	MYC_peak_24	0	.	174	103	268	234	258	247	248	274
chr1	1659054	1659290	MYC_peak_25	0	.	33	15	40	49	53	57	31	46
chr1	1724079	1724732	MYC_peak_26	0	.	54	39	103	42	90	105	71	102
chr1	1777616	1779604	MYC_peak_27	0	.	460	331	572	484	503	597	576	728
chr1	1780236	1780542	MYC_peak_28	0	.	21	10	30	34	33	51	32	43
chr1	1782416	1783157	MYC_peak_29	0	.	93	49	122	127	123	157	97	151
chr1	1889906	1891929	MYC_peak_30	0	.	264	191	249	287	280	326	227	416
chr1	1908550	1909672	MYC_peak_31	0	.	122	59	142	163	176	201	152	193
chr1	2126863	2127093	MYC_peak_32	0	.	14	9	27	13	28	23	28	33
chr1	2150859	2151958	MYC_peak_33	0	.	93	76	161	194	118	245	112	192
chr1	2189592	2190031	MYC_peak_34	0	.	9	27	45	41	46	29	32	35
chr1	2205296	2205918	MYC_peak_35	0	.	57	45	40	73	47	68	60	79
chr1	2229255	2231350	MYC_peak_36	0	.	140	157	180	191	194	261	216	303
chr1	2231644	2231852	MYC_peak_37	0	.	27	12	24	21	22	30	23	34
chr1	2232453	2232553	MYC_peak_38	0	.	2	3	3	18	6	14	9	14
chr1	2234409	2235082	MYC_peak_39	0	.	97	85	104	141	125	189	88	196
chr1	2290189	2291152	MYC_peak_40	0	.	104	69	124	145	114	155	107	161
chr1	2301322	2301630	MYC_peak_41	0	.	16	27	37	19	34	31	38	41
chr1	2391769	2392187	MYC_peak_42	0	.	38	17	44	41	56	43	22	49
chr1	2412065	2414437	MYC_peak_43	0	.	314	192	559	392	445	535	361	606
chr1	2526304	2526492	MYC_peak_44	0	.	21	20	41	45	16	28	40	20
chr1	2546324	2547134	MYC_peak_45	0	.	89	39	105	104	86	129	98	91
chr1	2547830	2549195	MYC_peak_46	0	.	103	79	126	154	125	191	122	173
chr1	2585683	2586346	MYC_peak_47	0	.	49	62	88	43	66	88	75	86
chr1	2586622	2587190	MYC_peak_48	0	.	35	27	67	41	43	79	47	102
chr1	3666582	3666986	MYC_peak_49	0	.	44	33	43	33	39	61	30	46
chr1	3668589	3669151	MYC_peak_50	0	.	62	64	85	65	55	91	48	98
chr1	3677212	3678019	MYC_peak_51	0	.	84	43	100	83	69	115	67	94
chr1	3717300	3717349	MYC_peak_52	0	.	2	3	3	9	4	4	2	9
chr1	3795730	3797009	MYC_peak_53	0	.	166	121	228	211	197	252	174	199
chr1	3857402	3857883	MYC_peak_54	0	.	62	38	62	101	36	46	73	75
chr1	3899541	3901538	MYC_peak_55	0	.	248	169	394	338	287	447	282	395
chr1	5974791	5976324	MYC_peak_56	0	.	160	176	266	266	276	365	234	292
chr1	5991476	5993015	MYC_peak_57	0	.	193	96	224	202	178	257	183	230
chr1	6025828	6028673	MYC_peak_58	0	.	525	362	654	537	464	702	445	724
chr1	6170818	6171418	MYC_peak_59	0	.	43	26	56	74	47	68	49	74
chr1	6197861	6198301	MYC_peak_60	0	.	30	21	36	47	33	46	24	38
chr1	6198483	6199948	MYC_peak_61	0	.	409	246	549	414	461	523	423	567
chr1	6208354	6210212	MYC_peak_62	0	.	336	274	568	439	471	562	385	680
chr1	6235248	6236255	MYC_peak_63	0	.	94	72	199	165	125	198	133	194
chr1	6392978	6394510	MYC_peak_64	0	.	269	195	360	318	383	518	309	382
chr1	6554011	6554669	MYC_peak_65	0	.	75	57	124	86	143	119	75	88
chr1	6579946	6580884	MYC_peak_66	0	.	171	97	191	179	142	207	164	198
chr1	6600269	6604751	MYC_peak_67	0	.	689	530	918	903	824	1084	788	1217
