Chr	start	stop	V4	V5	V6	M24C1_RUNX	M24C2_RUNX	M24D1_RUNX	M24D2_RUNX	M24G1_RUNX	M24G2_RUNX	M24Q1_RUNX	M24Q2_RUNX
chr1	1371317	1371697	RUNX_peak_1	0	.	53	71	80	72	84	62	73	88
chr1	1779803	1780715	RUNX_peak_2	0	.	90	130	115	84	157	120	104	130
chr1	2151113	2151598	RUNX_peak_3	0	.	59	73	72	44	105	92	65	68
chr1	2290514	2291293	RUNX_peak_4	0	.	124	133	104	110	179	140	120	116
chr1	6028011	6028648	RUNX_peak_5	0	.	86	105	77	53	129	118	100	84
chr1	6235787	6236259	RUNX_peak_6	0	.	70	106	55	50	84	97	74	60
chr1	6554439	6554693	RUNX_peak_7	0	.	89	127	53	32	90	72	50	66
chr1	6743656	6744162	RUNX_peak_8	0	.	85	90	80	123	90	82	74	80
chr1	8427820	8428082	RUNX_peak_9	0	.	44	34	18	35	32	21	26	37
chr1	8938299	8938804	RUNX_peak_10	0	.	83	57	43	69	83	79	68	62
chr1	9239605	9239992	RUNX_peak_11	0	.	53	65	41	52	98	70	50	65
chr1	11012462	11012645	RUNX_peak_12	0	.	36	39	22	18	21	21	41	31
chr1	11740788	11741105	RUNX_peak_13	0	.	38	54	43	30	58	80	55	43
chr1	12184079	12184587	RUNX_peak_14	0	.	95	93	46	68	111	112	72	111
chr1	12596042	12596885	RUNX_peak_15	0	.	145	150	102	168	195	165	156	139
chr1	14778080	14778562	RUNX_peak_16	0	.	24	34	58	61	74	54	51	54
chr1	17066909	17067389	RUNX_peak_17	0	.	59	66	67	57	98	68	100	65
chr1	17630020	17630491	RUNX_peak_18	0	.	43	67	45	47	80	49	31	73
chr1	17635752	17636085	RUNX_peak_19	0	.	46	64	37	48	38	63	63	61
chr1	19319105	19319381	RUNX_peak_20	0	.	39	60	38	40	71	63	49	46
chr1	19509041	19509205	RUNX_peak_21	0	.	22	72	17	29	39	48	39	42
chr1	19596802	19597011	RUNX_peak_22	0	.	49	49	38	32	45	31	29	49
chr1	21768223	21768618	RUNX_peak_23	0	.	73	94	76	87	143	156	104	79
chr1	22019160	22019335	RUNX_peak_24	0	.	32	33	22	32	63	52	62	48
chr1	23100322	23100675	RUNX_peak_25	0	.	39	60	30	35	71	33	34	49
chr1	23897188	23897374	RUNX_peak_26	0	.	48	70	27	32	45	48	47	63
chr1	23897378	23897836	RUNX_peak_27	0	.	42	50	36	58	56	45	42	71
chr1	23908975	23909141	RUNX_peak_28	0	.	21	37	22	12	16	25	21	27
chr1	23980207	23980567	RUNX_peak_29	0	.	103	119	49	84	105	83	91	69
chr1	24190728	24191025	RUNX_peak_30	0	.	27	20	24	13	38	28	22	41
chr1	24322172	24322623	RUNX_peak_31	0	.	42	72	37	66	60	35	35	40
chr1	24466567	24466698	RUNX_peak_32	0	.	14	6	4	7	12	8	13	7
chr1	24965067	24965358	RUNX_peak_33	0	.	27	49	27	24	45	34	44	43
chr1	25022687	25022897	RUNX_peak_34	0	.	36	48	15	12	32	23	32	34
chr1	25033897	25034274	RUNX_peak_35	0	.	62	95	27	97	116	56	75	75
chr1	26378299	26378610	RUNX_peak_36	0	.	55	60	60	49	68	49	54	36
chr1	26541701	26542548	RUNX_peak_37	0	.	149	183	143	172	251	168	151	184
chr1	26620356	26620895	RUNX_peak_38	0	.	77	79	54	80	115	62	85	75
chr1	26900246	26900655	RUNX_peak_39	0	.	74	89	50	39	85	101	77	90
chr1	27116634	27116789	RUNX_peak_40	0	.	3	12	13	22	23	13	8	20
chr1	27625984	27626398	RUNX_peak_41	0	.	29	43	40	45	35	41	60	38
chr1	28127107	28127643	RUNX_peak_42	0	.	54	31	43	50	51	44	71	62
chr1	28172658	28172882	RUNX_peak_43	0	.	29	22	17	48	53	40	22	44
