Chr	start	stop	V4	V5	V6	M24C1_LSD1	M24C2_LSD1	M24D1_LSD1	M24D2_LSD1	M24G1_LSD1	M24G2_LSD1	M24Q1_LSD1	M24Q2_LSD1
chr1	1038797	1039207	LSD1_peak_1	0	.	28	25	59	35	39	80	37	47
chr1	1039776	1040075	LSD1_peak_2	0	.	23	22	23	14	16	18	25	16
chr1	1371437	1371924	LSD1_peak_3	0	.	42	59	61	60	60	63	73	47
chr1	1778626	1779240	LSD1_peak_4	0	.	68	55	86	52	69	84	74	79
chr1	1780156	1781031	LSD1_peak_5	0	.	58	98	143	93	79	104	111	134
chr1	1869864	1870091	LSD1_peak_6	0	.	7	8	12	6	10	9	14	19
chr1	1890059	1890414	LSD1_peak_7	0	.	36	46	42	45	38	39	45	23
chr1	2150973	2152035	LSD1_peak_8	0	.	81	80	114	112	126	170	99	116
chr1	2194901	2195312	LSD1_peak_9	0	.	27	13	43	9	18	16	31	43
chr1	2229206	2229467	LSD1_peak_10	0	.	12	13	18	41	17	11	27	17
chr1	2234491	2234995	LSD1_peak_11	0	.	64	81	119	122	85	132	106	82
chr1	2246490	2247059	LSD1_peak_12	0	.	45	34	33	35	40	43	49	55
chr1	2290166	2290373	LSD1_peak_13	0	.	14	13	43	19	13	21	19	22
chr1	2290382	2291254	LSD1_peak_14	0	.	77	116	190	153	125	157	126	123
chr1	2546478	2546799	LSD1_peak_15	0	.	12	22	16	14	22	18	28	22
chr1	2556167	2556502	LSD1_peak_16	0	.	45	16	42	13	27	16	58	35
chr1	3666453	3666662	LSD1_peak_17	0	.	7	12	17	21	19	19	23	27
chr1	3677363	3677978	LSD1_peak_18	0	.	45	32	35	62	44	56	83	58
chr1	6027981	6028610	LSD1_peak_19	0	.	56	55	73	89	70	121	95	71
chr1	6199184	6199352	LSD1_peak_20	0	.	8	13	8	7	11	3	13	14
chr1	6208622	6209120	LSD1_peak_21	0	.	43	30	25	47	29	41	65	45
chr1	6235406	6235659	LSD1_peak_22	0	.	13	8	6	8	7	11	15	11
chr1	6743071	6743236	LSD1_peak_23	0	.	6	7	29	14	12	31	15	5
chr1	6743325	6744274	LSD1_peak_24	0	.	152	142	167	176	144	164	151	130
chr1	6744911	6745191	LSD1_peak_25	0	.	9	24	13	15	19	18	33	24
chr1	6745775	6745832	LSD1_peak_26	0	.	11	6	4	9	10	9	10	6
chr1	7941775	7942133	LSD1_peak_27	0	.	31	27	40	36	31	35	52	48
